original_ORF_annotation	query	target	description	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
>LOKIASV2_01200 hypothetical protein	LOKIASV2_0120_ESMFold_hypothetical_protein	AF-Q9HSB3-F1-model_v4	Transcription initiation factor IIB 6 	0.195	336	243	1	336	10	312	1.116E-11	405
>LOKIASV2_01210 tRNA -N-6--L-threonylcarbamoyladenosine-37--C-2---methylthiotransferase	LOKIASV2_0121_ESMFold_tRNA_-N-6--L-threonylcarbamoyladenosine-37--C-2---methylthiotransferase	AF-O59545-F1-model_v4	Probable threonylcarbamoyladenosine tRNA methylthiotransferase 	0.309	429	290	3	431	2	421	3.155E-43	1495
>LOKIASV2_01220 hypothetical protein	LOKIASV2_0122_ESMFold_hypothetical_protein	AF-O30300-F1-model_v4	UPF0148 protein AF_2370 	0.226	125	88	5	129	14	128	0.000008457	144
>LOKIASV2_01230 30S ribosomal protein S17e	LOKIASV2_0123_ESMFold_30S_ribosomal_protein_S17e	AF-P54026-F1-model_v4	30S ribosomal protein S17e 	0.491	61	31	1	61	1	61	0.0000438	244
>LOKIASV2_01240 hypothetical protein	LOKIASV2_0124_AF2_hypothetical_protein	AF-Q58863-F1-model_v4	Uncharacterized protein MJ1468 	0.176	967	644	464	1246	19	985	1.128E-34	544
>LOKIASV2_01250 hypothetical protein	LOKIASV2_ORF_0125 not PDB100 or Swiss-Prot hit											
>LOKIASV2_01260 hypothetical protein	LOKIASV2_0126_ESMFold_hypothetical_protein	AF-Q9UXF8-F1-model_v4	ORC1-type DNA replication protein 2 	0.263	406	288	10	401	7	412	6.687E-29	1043
>LOKIASV2_01270 hypothetical protein	LOKIASV2_0127_ESMFold_hypothetical_protein	AF-Q56405-F1-model_v4	Cadmium resistance transcriptional regulatory protein CadC 	0.219	91	69	3	93	27	115	0.00001519	204
>LOKIASV2_01280 hypothetical protein	LOKIASV2_0128_ESMFold_hypothetical_protein	AF-P15378-F1-model_v4	Prepilin leader peptidase/N-methyltransferase 	0.152	162	116	4	165	94	231	0.2959	86
>LOKIASV2_01290 hypothetical protein	LOKIASV2_0129_ESMFold_hypothetical_protein	8dzj-assembly1.cif.gz_A	Cryo-EM structure of Acidibacillus sulfuroxidans Cas12f in complex with sgRNA and target DNA 	0.442	52	27	9	60	357	405	0.00026	165
>LOKIASV2_01300 hypothetical protein	LOKIASV2_0130_ESMFold_hypothetical_protein	2oap-assembly1.cif.gz_2	Crystal structure of the archaeal secretion ATPase GspE in complex with AMP-PNP 	0.211	475	369	201	675	24	492	2.425E-29	985
>LOKIASV2_01310 hypothetical protein	LOKIASV2_0131_ESMFold_hypothetical_protein	AF-Q58311-F1-model_v4	Flagella accessory protein J 	0.13	542	406	39	506	5	546	0.00006171	185
>LOKIASV2_01320 50S ribosomal protein L23	LOKIASV2_0132_ESMFold_50S_ribosomal_protein_L23	AF-Q8TY92-F1-model_v4	50S ribosomal protein L23 	0.517	87	42	2	88	9	95	2.999E-12	489
>LOKIASV2_01330 50S ribosomal protein L4	LOKIASV2_0133_ESMFold_50S_ribosomal_protein_L4	AF-O26111-F1-model_v4	50S ribosomal protein L4 	0.482	257	130	4	260	1	252	5.54E-28	906
>LOKIASV2_01340 50S ribosomal protein L3	LOKIASV2_0134_ESMFold_50S_ribosomal_protein_L3	AF-O28354-F1-model_v4	50S ribosomal protein L3 	0.426	334	188	6	339	3	331	7.875E-36	1248
>LOKIASV2_01350 ribosome biogenesis-translation initiation ATPase RLI	LOKIASV2_0135_ESMFold_ribosome_biogenesis-translation_initiation_ATPase_RLI	AF-Q58129-F1-model_v4	Uncharacterized ABC transporter ATP-binding protein MJ0719 	0.512	596	285	1	596	13	597	3.549E-81	3084
>LOKIASV2_01360 lysine--tRNA ligase	LOKIASV2_0136_ESMFold_lysine--tRNA_ligase	AF-Q57959-F1-model_v4	Lysine--tRNA ligase 	0.299	560	369	16	575	2	529	2.038E-42	1573
>LOKIASV2_01370 hypothetical protein	LOKIASV2_0137_ESMFold_hypothetical_protein	AF-B9M2R9-F1-model_v4	DNA gyrase inhibitor YacG 	0.21	38	29	19	56	6	43	0.186	78
>LOKIASV2_01380 hypothetical protein	LOKIASV2_0138_AF2_hypothetical_protein	3afg-assembly1.cif.gz_A	Crystal structure of ProN-Tk-SP from Thermococcus kodakaraensis 	0.252	530	360	49	578	3	484	1.763E-34	975
>LOKIASV2_01390 hypothetical protein	LOKIASV2_0139_ESMFold_hypothetical_protein	AF-F4HRV8-F1-model_v4	Meiosis-specific protein ASY1 	0.152	58	47	3	60	308	363	0.04189	103
>LOKIASV2_01400 hypothetical protein	LOKIASV2_0140_ESMFold_hypothetical_protein	AF-Q58075-F1-model_v4	Uncharacterized protein MJ0661 	0.265	124	79	10	118	28	151	0.00001121	149
>LOKIASV2_01410 hypothetical protein	LOKIASV2_0141_ESMFold_hypothetical_protein	AF-A5UMH5-F1-model_v4	Probable bifunctional tRNA threonylcarbamoyladenosine biosynthesis protein 	0.18	204	155	40	243	344	533	0.00000003203	265
>LOKIASV2_01420 aspartate carbamoyltransferase regulatory subunit	LOKIASV2_0142_ESMFold_aspartate_carbamoyltransferase_regulatory_subunit	AF-A2BJ23-F1-model_v4	Aspartate carbamoyltransferase regulatory chain 	0.429	156	87	12	167	3	156	2.398E-21	801
>LOKIASV2_01430 hypothetical protein	LOKIASV2_0143_ESMFold_hypothetical_protein	AF-A0A2R8QFQ6-F1-model_v4	F-box and WD repeat domain-containing 11a 	0.113	306	270	126	431	254	558	4.581E-13	469
>LOKIASV2_01440 ribosome rescue protein RqcH	LOKIASV2_0144_ESMFold_ribosome_rescue_protein_RqcH	AF-Q59020-F1-model_v4	Archaeal Rqc2 homolog aRqcH 	0.285	713	479	10	722	1	671	4.565E-55	1775
>LOKIASV2_01450 hypothetical protein	LOKIASV2_0145_ESMFold_hypothetical_protein	AF-O19199-F1-model_v4	Uncharacterized protein AF_0569 	0.357	42	26	1	42	4	45	0.1172	90
>LOKIASV2_01460 hypothetical protein	LOKIASV2_0146_ESMFold_hypothetical_protein	AF-Q6ZRS4-F1-model_v4	Protein ITPRID1 	0.083	108	95	1	105	833	940	5.075	50
>LOKIASV2_01470 hypothetical protein	LOKIASV2_0147_ESMFold_hypothetical_protein	AF-O54088-F1-model_v4	Cytochrome b558/566 subunit A 	0.079	458	239	1	261	2	459	0.00001008	164
>LOKIASV2_01480 hypothetical protein	LOKIASV2_0148_ESMFold_hypothetical_protein	AF-Q58177-F1-model_v4	Uncharacterized transcriptional regulator MJ0767 	0.375	40	24	1	40	4	43	0.04366	96
>LOKIASV2_01490 hypothetical protein	LOKIASV2_0149_ESMFold_hypothetical_protein	1n9r-assembly2.cif.gz_B-2	Crystal structure of a heptameric ring complex of yeast SmF in spacegroup P4122 	0.075	71	56	75	145	9	69	2.807	28
>LOKIASV2_01500 hypothetical protein	LOKIASV2_0150_ESMFold_hypothetical_protein	AF-O28908-F1-model_v4	Uncharacterized protein AF_1363 	0.393	61	35	95	155	25	83	0.03	121
>LOKIASV2_01510 FAD-dependent thymidylate synthase	LOKIASV2_0151_ESMFold_FAD-dependent_thymidylate_synthase	AF-Q73FX5-F1-model_v4	Flavin-dependent thymidylate synthase 	0.415	285	160	1	285	9	282	1.041E-27	1071
>LOKIASV2_01520 Nif3-like dinuclear metal center hexameric protein	LOKIASV2_0152_ESMFold_Nif3-like_dinuclear_metal_center_hexameric_protein	AF-Q8XIV9-F1-model_v4	GTP cyclohydrolase 1 type 2 homolog 	0.259	253	186	2	254	11	262	1.973E-22	712
>LOKIASV2_01530 HIT family protein	LOKIASV2_0153_ESMFold_HIT_family_protein	AF-Q58276-F1-model_v4	Uncharacterized HIT-like protein MJ0866 	0.476	127	66	6	132	2	128	4.53E-14	510
>LOKIASV2_01540 hypothetical protein	LOKIASV2_0154_ESMFold_hypothetical_protein	AF-P35749-F1-model_v4	Myosin-11 	0.133	30	25	12	41	44	73	1.098	56
>LOKIASV2_01550 hypothetical protein	LOKIASV2_0155_ESMFold_hypothetical_protein	AF-O93746-F1-model_v4	DNA polymerase 2 	0.181	813	655	1	813	1	801	2.936E-45	1534
>LOKIASV2_01560 hypothetical protein	LOKIASV2_0156_ESMFold_hypothetical_protein	AF-Q55FT9-F1-model_v4	Abl interactor homolog 	0.142	79	64	9	87	25	100	1.682	39
>LOKIASV2_01570 shikimate kinase	LOKIASV2_0157_ESMFold_shikimate_kinase	AF-Q67N09-F1-model_v4	Shikimate kinase 	0.329	167	111	6	171	2	168	3.193E-16	637
>LOKIASV2_01580 hypothetical protein	LOKIASV2_0158_ESMFold_hypothetical_protein	AF-Q9C117-F1-model_v4	Uncharacterized protein C16E8.12c 	0.108	157	120	81	216	12	168	0.3927	53
>LOKIASV2_01590 hypothetical protein	LOKIASV2_0159_ESMFold_hypothetical_protein	3u7z-assembly2.cif.gz_B	Crystal structure of a putative metal binding protein RUMGNA_00854 (ZP_02040092.1) from Ruminococcus gnavus ATCC 29149 at 1.30 A resolution 	0.123	97	82	70	166	2	95	0.000001562	237
>LOKIASV2_01600 hypothetical protein	LOKIASV2_0160_ESMFold_hypothetical_protein	AF-Q57758-F1-model_v4	Uncharacterized protein MJ0310 	0.254	114	83	14	127	2	113	0.0000007204	263
>LOKIASV2_01610 selenocysteine-specific translation elongation factor	LOKIASV2_0161_ESMFold_selenocysteine-specific_translation_elongation_factor	AF-Q57918-F1-model_v4	Selenocysteine-specific elongation factor 	0.398	473	278	14	486	6	467	3.382E-45	1489
>LOKIASV2_01620 hypothetical protein	LOKIASV2_0162_ESMFold_hypothetical_protein	AF-Q4J923-F1-model_v4	Cell division protein A 	0.224	125	91	169	286	72	196	0.0607	116
>LOKIASV2_01630 hypothetical protein	LOKIASV2_0163_ESMFold_hypothetical_protein	AF-Q5R8F1-F1-model_v4	Transmembrane 9 superfamily member 1 	0.119	42	36	2	43	237	278	8.824	27
>LOKIASV2_01640 hypothetical protein	LOKIASV2_0164_ESMFold_hypothetical_protein	AF-Q9HAJ7-F1-model_v4	Histone deacetylase complex subunit SAP30L 	0.157	68	53	18	81	20	87	0.4748	55
>LOKIASV2_01650 CoA pyrophosphatase	LOKIASV2_0165_ESMFold_CoA_pyrophosphatase	AF-A4WBH1-F1-model_v4	Uncharacterized Nudix hydrolase NudL 	0.251	193	136	10	202	9	191	3.379E-19	635
>LOKIASV2_01660 isoprenylcysteine carboxylmethyltransferase family protein	LOKIASV2_0166_ESMFold_isoprenylcysteine_carboxylmethyltransferase_family_protein	AF-P32584-F1-model_v4	Protein-S-isoprenylcysteine O-methyltransferase 	0.236	223	169	33	255	18	239	0.00162	153
>LOKIASV2_01670 hypothetical protein	LOKIASV2_0167_ESMFold_hypothetical_protein	4ep3-assembly1.cif.gz_A	Crystal Structure of inactive single chain wild-type HIV-1 Protease in Complex with the substrate CA-p2 	0.148	240	158	21	260	10	195	2.788E-10	326
>LOKIASV2_01680 MBL fold metallo-hydrolase	LOKIASV2_0168_ESMFold_MBL_fold_metallo-hydrolase	AF-Q60355-F1-model_v4	Uncharacterized protein MJ0047 	0.318	435	291	1	435	1	428	2.753E-40	1334
>LOKIASV2_01690 hypothetical protein	LOKIASV2_0169_ESMFold_hypothetical_protein	7mo3-assembly2.cif.gz_D	Crystal Structure of the ZnF3 of Nucleoporin NUP153 in complex with Ran-GDP, resolution 2.05 Angstrom 	0.272	22	15	183	204	15	36	1.802	69
>LOKIASV2_01700 hypothetical protein	LOKIASV2_0170_ESMFold_hypothetical_protein	AF-O94348-F1-model_v4	Protein transport protein yip1 	0.05	98	88	13	106	124	221	6.223	47
>LOKIASV2_01710 hypothetical protein	LOKIASV2_0171_ESMFold_hypothetical_protein	AF-P0CD71-F1-model_v4	Elongation factor Tu 	0.161	202	154	2	203	13	196	0.0000001795	210
>LOKIASV2_01720 hypothetical protein	LOKIASV2_0172_ESMFold_hypothetical_protein	AF-Q58760-F1-model_v4	Uncharacterized protein MJ1365 	0.229	239	165	31	269	19	233	0.000000003304	266
>LOKIASV2_01730 hypothetical protein	LOKIASV2_0173_ESMFold_hypothetical_protein	AF-P53049-F1-model_v4	Oligomycin resistance ATP-dependent permease YOR1 	0.159	44	36	45	88	154	197	4.612	53
>LOKIASV2_01740 acyl-CoA--6-aminopenicillanic acid acyltransferase	LOKIASV2_0174_ESMFold_acyl-CoA--6-aminopenicillanic_acid_acyltransferase	AF-Q3TMH2-F1-model_v4	Secernin-3 	0.332	413	274	2	414	6	416	6.055E-39	1265
>LOKIASV2_01750 GNAT family N-acetyltransferase	LOKIASV2_0175_ESMFold_GNAT_family_N-acetyltransferase	2q0y-assembly1.cif.gz_A-2	Crystal structure of GCN5-related N-acetyltransferase (YP_295895.1) from Ralstonia eutropha JMP134 at 1.80 A resolution 	0.282	155	107	17	171	2	151	9.996E-15	529
>LOKIASV2_01760 hypothetical protein	LOKIASV2_0176_ESMFold_hypothetical_protein	AF-Q95LZ5-F1-model_v4	Tetratricopeptide repeat protein 16 	0.087	458	398	8	444	57	514	0.0000004718	166
>LOKIASV2_01770 hypothetical protein	LOKIASV2_0177_ESMFold_hypothetical_protein	8dl7-assembly1.cif.gz_A	Cryo-EM structure of human ferroportin/slc40 bound to minihepcidin PR73 in nanodisc 	0.145	247	198	43	275	8	254	0.3961	64
>LOKIASV2_01780 adenylate kinase family protein	LOKIASV2_0178_ESMFold_adenylate_kinase_family_protein	AF-Q8TJQ0-F1-model_v4	Putative adenylate kinase 	0.321	181	122	5	184	2	182	5.185E-17	564
>LOKIASV2_01790 phenylacetic acid degradation protein PaaY	LOKIASV2_0179_ESMFold_phenylacetic_acid_degradation_protein_PaaY	AF-B5FHG3-F1-model_v4	Carnitine operon protein CaiE 	0.304	174	120	1	174	1	174	8.405E-16	746
>LOKIASV2_01800 hypothetical protein	LOKIASV2_0180_ESMFold_hypothetical_protein	AF-Q55874-F1-model_v4	Uncharacterized protein sll0103 	0.15	373	307	4	376	1	362	1.81E-26	809
>LOKIASV2_01810 hypothetical protein	LOKIASV2_0181_ESMFold_hypothetical_protein	AF-P46017-F1-model_v4	Protein FraH 	0.219	266	204	2	267	28	289	0.000000104	174
>LOKIASV2_01820 hypothetical protein	LOKIASV2_0182_ESMFold_hypothetical_protein	2lc1-assembly1.cif.gz_A	Rv0020c_FHA Structure 	0.134	134	81	294	427	7	100	0.0001505	144
>LOKIASV2_01830 hypothetical protein	LOKIASV2_0183_ESMFold_hypothetical_protein	AF-Q6YPR6-F1-model_v4	Spermidine/putrescine import ATP-binding protein PotA 	0.176	68	52	176	243	109	172	1.286	80
>LOKIASV2_01840 hypothetical protein	LOKIASV2_0184_ESMFold_hypothetical_protein	AF-Q80U49-F1-model_v4	Centrosomal protein of 170 kDa protein B 	0.096	120	88	175	294	4	101	0.0004256	126
>LOKIASV2_01850 hypothetical protein	LOKIASV2_0185_ESMFold_hypothetical_protein	5u94-assembly1.cif.gz_A	Crystal structure of the Mycobacterium tuberculosis PASTA kinase PknB in complex with the potential theraputic kinase inhibitor GSK690693. 	0.22	285	201	11	295	4	262	1.886E-17	575
>LOKIASV2_01860 Stp1nIreP family PP2C-type Ser-Thr phosphatase	LOKIASV2_0186_ESMFold_Stp1nIreP_family_PP2C-type_Ser-Thr_phosphatase	2j86-assembly1.cif.gz_A	Structural analysis of the PP2C Family Phosphatase tPphA of Thermosynechococcus elongatus 	0.205	255	184	3	257	2	234	1.021E-15	509
>LOKIASV2_01870 hypothetical protein	LOKIASV2_0187_ESMFold_hypothetical_protein	AF-Q6FM81-F1-model_v4	Serine/threonine-protein phosphatase 4 catalytic subunit 	0.249	316	209	40	355	5	283	8.061E-23	722
>LOKIASV2_01880 hypothetical protein	LOKIASV2_0188_ESMFold_hypothetical_protein	8pq7-assembly1.cif.gz_A	The Potato Late Blight pathogen (Phytophthora infestans) effector protein Pi04134 in complex with potato protein phosphatase type 1c (PP1c). 	0.235	338	216	57	394	3	285	1.973E-22	716
>LOKIASV2_01890 hypothetical protein	LOKIASV2_0189_ESMFold_hypothetical_protein	AF-Q46DI6-F1-model_v4	tRNA-guanine(15) transglycosylase 	0.356	503	304	7	509	5	477	6.139E-45	1635
>LOKIASV2_01900 DUF371 domain-containing protein	LOKIASV2_0190_ESMFold_DUF371_domain-containing_protein	AF-Q57659-F1-model_v4	Uncharacterized protein MJ0206 	0.39	133	80	10	142	4	135	2.762E-18	692
>LOKIASV2_01910 tRNA -guanine-37--N1--methyltransferase Trm5b	LOKIASV2_0191_ESMFold_tRNA_-guanine-37--N1--methyltransferase_Trm5b	AF-Q9V0Q0-F1-model_v4	tRNA (guanine(37)-N1)-methyltransferase Trm5b 	0.296	366	230	14	379	3	330	3.184E-34	1082
>LOKIASV2_01920 hypothetical protein	LOKIASV2_0192_ESMFold_hypothetical_protein	AF-Q8U3H1-F1-model_v4	Putative HTH-type transcriptional regulator TrmBL2 	0.162	175	135	116	277	90	264	0.000000001276	273
>LOKIASV2_01930 hypothetical protein	LOKIASV2_0193_ESMFold_hypothetical_protein	5bpd-assembly1.cif.gz_C	Structure of TrmBL2, an archaeal chromatin protein, shows a novel mode of DNA binding. 	0.137	186	155	221	406	80	260	0.00000001281	223
>LOKIASV2_01940 hypothetical protein	LOKIASV2_0194_ESMFold_hypothetical_protein	AF-Q58736-F1-model_v4	Uncharacterized protein MJ1340 	0.208	115	89	18	132	2	114	0.000000516	263
>LOKIASV2_01950 hypothetical protein	LOKIASV2_0195_ESMFold_hypothetical_protein	AF-P29941-F1-model_v4	Uncharacterized 19.2 kDa protein in cobO 3'region 	0.308	172	117	1	172	3	172	0.0000000201	421
>LOKIASV2_01960 hypothetical protein	LOKIASV2_0196_ESMFold_hypothetical_protein	5fgo-assembly2.cif.gz_C	Crystal structure of D. melanogaster Pur-alpha repeat III. 	0.112	62	52	9	70	2	60	0.1585	87
>LOKIASV2_01970 gamma carbonic anhydrase family protein	LOKIASV2_0197_ESMFold_gamma_carbonic_anhydrase_family_protein	6sc4-assembly2.cif.gz_D	Gamma-Carbonic Anhydrase from the Haloarchaeon Halobacterium sp. 	0.278	176	121	3	170	2	177	1.954E-14	611
>LOKIASV2_01980 transcription initiation factor IIB	LOKIASV2_0198_ESMFold_transcription_initiation_factor_IIB	AF-A1RV37-F1-model_v4	Transcription initiation factor IIB 	0.4	298	170	23	307	36	333	1.505E-19	787
>LOKIASV2_01990 hypothetical protein	LOKIASV2_0199_ESMFold_hypothetical_protein	AF-Q80X95-F1-model_v4	Ras-related GTP-binding protein A 	0.217	315	233	1	315	4	301	3.23E-21	682
>LOKIASV2_02000 TIGR02253 family HAD-type hydrolase	LOKIASV2_0200_ESMFold_TIGR02253_family_HAD-type_hydrolase	AF-Q58832-F1-model_v4	Glyceraldehyde 3-phosphate phosphatase 	0.411	241	133	1	241	1	227	5.331E-24	869
>LOKIASV2_02010 hypothetical protein	LOKIASV2_0201_ESMFold_hypothetical_protein	AF-Q09346-F1-model_v4	Guanine nucleotide exchange protein smcr-8 	0.151	182	130	2	155	26	207	0.000002693	172
>LOKIASV2_02020 inositol-3-phosphate synthase	LOKIASV2_0202_ESMFold_inositol-3-phosphate_synthase	AF-P9WKI1-F1-model_v4	Inositol-3-phosphate synthase 	0.442	374	203	15	388	1	365	6.923E-44	1556
>LOKIASV2_02030 hypothetical protein	LOKIASV2_0203_ESMFold_hypothetical_protein	AF-P06627-F1-model_v4	Relaxosome protein TraY 	0.117	118	101	1	118	5	119	0.02597	69
>LOKIASV2_02040 hypothetical protein	LOKIASV2_0204_ESMFold_hypothetical_protein	AF-Q58335-F1-model_v4	Uncharacterized HTH-type transcriptional regulator MJ0925 	0.32	77	48	26	97	4	80	0.0008775	144
>LOKIASV2_02050 hypothetical protein	LOKIASV2_0205_ESMFold_hypothetical_protein	AF-Q57424-F1-model_v4	Uncharacterized protein HI_0647 	0.128	75	64	69	143	164	237	0.0006203	170
>LOKIASV2_02060 hypothetical protein	LOKIASV2_0206_ESMFold_hypothetical_protein	AF-Q8U151-F1-model_v4	Ribonuclease P protein component 2 	0.293	109	72	2	110	12	114	4.194E-12	391
>LOKIASV2_02070 hypothetical protein	LOKIASV2_0207_ESMFold_hypothetical_protein	AF-O26784-F1-model_v4	Ribonuclease P protein component 3 	0.179	244	181	2	245	10	231	4.925E-12	403
>LOKIASV2_02080 hypothetical protein	LOKIASV2_0208_ESMFold_hypothetical_protein	2ogk-assembly1.cif.gz_B	Crystal structure of protein AF2318 from Archaeglobus fulgidus, Pfam DUF54 	0.28	146	99	10	155	1	138	7.691E-14	465
>LOKIASV2_02090 50S ribosomal protein L15e	LOKIASV2_0209_ESMFold_50S_ribosomal_protein_L15e	AF-P54060-F1-model_v4	50S ribosomal protein L15e 	0.546	192	86	3	192	1	192	1.134E-21	584
>LOKIASV2_02100 hypothetical protein	LOKIASV2_0210_ESMFold_hypothetical_protein	AF-Q1DB04-F1-model_v4	Mutual gliding-motility protein MglA 	0.268	210	141	1	210	1	194	7.359E-16	473
>LOKIASV2_02110 hypothetical protein	LOKIASV2_0211_ESMFold_hypothetical_protein	AF-Q8RDB2-F1-model_v4	Hydrogenase maturation factor HypA 	0.333	27	17	4	30	70	96	0.1893	82
>LOKIASV2_02120 serine--tRNA ligase	LOKIASV2_0212_ESMFold_serine--tRNA_ligase	AF-Q2NEU9-F1-model_v4	Serine--tRNA ligase 	0.629	427	157	1	427	1	424	1.906E-59	2482
>LOKIASV2_02130 radical SAM protein	LOKIASV2_0213_ESMFold_radical_SAM_protein	AF-Q59015-F1-model_v4	Uncharacterized protein MJ1620 	0.339	553	329	1	553	1	498	1.529E-51	1775
>LOKIASV2_02140 hypothetical protein	LOKIASV2_0214_ESMFold_hypothetical_protein	AF-P74653-F1-model_v4	Phytol kinase 	0.224	239	168	15	253	14	230	0.000000002881	425
>LOKIASV2_02150 hypothetical protein	LOKIASV2_0215_ESMFold_hypothetical_protein	2j3m-assembly1.cif.gz_A	PROLYL-TRNA SYNTHETASE FROM ENTEROCOCCUS FAECALIS COMPLEXED WITH ATP, manganese and prolinol 	0.166	48	36	24	71	64	107	0.6641	29
>LOKIASV2_02160 L-threonylcarbamoyladenylate synthase	LOKIASV2_0216_ESMFold_L-threonylcarbamoyladenylate_synthase	AF-Q9UYB2-F1-model_v4	Threonylcarbamoyl-AMP synthase 	0.401	363	201	3	365	2	338	1.143E-40	1403
>LOKIASV2_02170 hypothetical protein	LOKIASV2_0217_ESMFold_hypothetical_protein	AF-O88728-F1-model_v4	Interferon-induced transmembrane protein 5 	0.125	64	55	30	93	40	103	4.321	51
>LOKIASV2_02180 hypothetical protein	LOKIASV2_0218_ESMFold_hypothetical_protein	8imh-assembly1.cif.gz_B	Solution structure of the N terminal domain of MazE9 antitoxin (nMazE9) from Mycobacterium tuberculosis 	0.2	40	31	16	55	3	42	7.464	36
>LOKIASV2_02190 hypothetical protein	LOKIASV2_0219_ESMFold_hypothetical_protein	AF-O93774-F1-model_v4	HTH-type transcriptional regulator lrs14 	0.253	67	49	20	86	29	95	0.0003487	180
>LOKIASV2_02200 hypothetical protein	LOKIASV2_ORF_0220 not PDB100 or Swiss-Prot hit											
>LOKIASV2_02210 hypothetical protein	LOKIASV2_0221_ESMFold_hypothetical_protein	4twa-assembly1.cif.gz_A	Crystal Structure of Prolyl-tRNA Synthetase (PRS) from Plasmodium falciparum 	0.195	46	33	6	51	288	329	9.199	20
>LOKIASV2_02220 hypothetical protein	LOKIASV2_0222_ESMFold_hypothetical_protein	7e4j-assembly1.cif.gz_C	X-ray crystal structure of VapB12 antitoxin from mycobacterium tuberculosis in space group P41. 	0.333	30	19	58	87	10	39	4.055	45
>LOKIASV2_02230 hypothetical protein	LOKIASV2_0223_ESMFold_hypothetical_protein	AF-Q0HA38-F1-model_v4	Tetratricopeptide repeat protein 21B 	0.158	120	95	155	268	770	889	1.145	64
>LOKIASV2_02240 hypothetical protein	LOKIASV2_0224_ESMFold_hypothetical_protein	5l10-assembly3.cif.gz_E	Crystal Structure of N-Acylhomoserine Lactone Dependent LuxR Family Transcriptionl Factor CepR2 from Burkholderia cenocepacia 	0.124	160	116	6	165	32	164	0.6781	41
>LOKIASV2_02250 hypothetical protein	LOKIASV2_0225_ESMFold_hypothetical_protein	3hjw-assembly1.cif.gz_B	Structure of a functional ribonucleoprotein pseudouridine synthase bound to a substrate RNA 	0.4	25	14	691	715	2	26	3.314	72
>LOKIASV2_02260 hypothetical protein	LOKIASV2_0226_ESMFold_hypothetical_protein	AF-P74891-F1-model_v4	Secretion system apparatus protein SsaS 	0.092	65	56	2	64	10	74	1.596	56
>LOKIASV2_02270 hypothetical protein	LOKIASV2_0227_ESMFold_hypothetical_protein	AF-Q24WW8-F1-model_v4	ATP-dependent helicase/nuclease subunit A 	0.142	262	185	33	249	1126	1387	0.00002821	105
>LOKIASV2_02280 hypothetical protein	LOKIASV2_0228_ESMFold_hypothetical_protein	AF-Q24WW8-F1-model_v4	ATP-dependent helicase/nuclease subunit A 	0.14	271	198	25	255	1119	1389	0.00008031	87
>LOKIASV2_02290 hypothetical protein	LOKIASV2_0229_ESMFold_hypothetical_protein	AF-O28779-F1-model_v4	Probable archaeal histone A1-2 	0.428	63	35	34	96	2	64	0.0001571	200
